"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    ,    "rms[A_nu]"   
          0,           0,         152,      -4.813555974,      -7.321183897,      -7.817650704,      -10.17645298,       -5.67826581
          0,           0,         153,      -4.825361819,      -7.323404074,      -7.824166131,      -10.18908299,       -5.68049151
          0,           0,         154,      -4.836693819,      -7.325779817,      -7.829931682,      -10.20142577,      -5.682770997
          0,           0,         155,      -4.846994655,      -7.328212871,      -7.834847694,       -10.2128101,      -5.685101545
          0,           0,         156,       -4.85576921,      -7.330607298,       -7.83889706,       -10.2225988,      -5.687480231
          0,           0,         157,      -4.862644682,      -7.332873484,      -7.842146571,      -10.23026732,      -5.689903935
          0,           0,         158,      -4.867420577,      -7.334931855,      -7.844738369,      -10.23548034,      -5.692369338
          0,           0,         159,        -4.8700937,      -7.336716025,      -7.846873211,      -10.23814293,      -5.694872923
          0,           0,         160,      -4.870849804,      -7.338175135,      -7.848788715,      -10.23840833,      -5.697410972
          0,           0,         161,      -4.870024603,      -7.339275185,      -7.850736231,        -10.236639,      -5.699979572
          0,           0,         162,      -4.868046414,      -7.339999291,      -7.852959326,      -10.23333501,      -5.702574612
          0,           0,         163,      -4.865376069,       -7.34034689,      -7.855675707,      -10.22905269,      -5.705191794
          0,           0,         164,      -4.862456527,      -7.340332035,      -7.859063157,      -10.22433388,      -5.707826636
          0,           0,         165,      -4.859678258,         -7.339981,      -7.863249159,      -10.21965682,      -5.710474487
          0,           0,         166,      -4.857360511,       -7.33932948,      -7.868303397,      -10.21540989,      -5.713130543
          0,           0,         167,      -4.855745115,      -7.338419637,      -7.874232316,      -10.21188358,      -5.715789868
          0,           0,         168,      -4.854998385,      -7.337297238,      -7.880975238,      -10.20927421,      -5.718447424
          0,           0,         169,      -4.855217145,      -7.336009059,      -7.888402066,      -10.20769376,      -5.721098108
          0,           0,         170,      -4.856435915,      -7.334600668,        -7.8963133,      -10.20718169,      -5.723736789
          0,           0,         171,      -4.858633357,      -7.333114631,      -7.904443799,      -10.20771659,      -5.726358362
          0,           0,         172,      -4.861736929,      -7.331589142,      -7.912472243,      -10.20922625,      -5.728957795
          0,           0,         173,      -4.865625334,      -7.330057046,      -7.920038314,      -10.21159589,      -5.731530187
          0,           0,         174,      -4.870128925,      -7.328545205,      -7.926768738,      -10.21467461,      -5.734070828
          0,           0,         175,      -4.875028753,      -7.327074172,      -7.932311359,      -10.21828035,      -5.736575253
          0,           0,         176,      -4.880055624,      -7.325658108,      -7.936373464,      -10.22220395,      -5.739039299
          0,           0,         177,      -4.884891287,      -7.324304949,      -7.938757641,      -10.22621315,      -5.741459153
          0,           0,         178,      -4.889174577,      -7.323016783,      -7.939387087,       -10.2300575,      -5.743831401
          0,           0,         179,      -4.892515687,      -7.321790443,      -7.938313773,      -10.23347541,      -5.746153056
          0,           0,         180,       -4.89452109,      -7.320618321,      -7.935707151,      -10.23620439,      -5.748421591
          0,           0,         181,      -4.894829535,      -7.319489375,      -7.931826475,      -10.23799535,      -5.750634949
          0,           0,         182,      -4.893155791,      -7.318390323,      -7.926983741,      -10.23863063,      -5.752791547
          0,           0,         183,       -4.88933452,      -7.317306965,       -7.92150536,      -10.23794451,      -5.754890273
          0,           0,         184,      -4.883353801,      -7.316225576,      -7.915698974,      -10.23584325,      -5.756930463
          0,           0,         185,       -4.87536874,      -7.315134258,       -7.90982885,      -10.23232088,      -5.758911876
          0,           0,         186,      -4.865690722,      -7.314024142,      -7.904100456,       -10.2274672,      -5.760834659
          0,           0,         187,      -4.854755249,      -7.312890307,      -7.898653006,      -10.22146542,      -5.762699302
          0,           0,         188,      -4.843077207,      -7.311732284,      -7.893558087,      -10.21457952,      -5.764506594
          0,           0,         189,      -4.831204254,      -7.310554052,       -7.88882259,      -10.20713337,      -5.766257571
          0,           0,         190,      -4.819676819,      -7.309363425,      -7.884394678,      -10.19948523,      -5.767953467
          0,           0,         191,      -4.808998942,      -7.308170822,      -7.880172111,      -10.19200129,      -5.769595663
          0,           0,         192,      -4.799620032,      -7.306987443,      -7.876012665,      -10.18503093,      -5.771185643
          0,           0,         193,      -4.791924945,      -7.305822926,      -7.871746597,      -10.17888485,      -5.772724947
          0,           0,         194,      -4.786228489,      -7.304682632,      -7.867191001,       -10.1738156,      -5.774215137
          0,           0,         195,      -4.782770186,      -7.303564747,       -7.86216556,      -10.16999884,      -5.775657763
          0,           0,         196,      -4.781705034,      -7.302457424,      -7.856508667,      -10.16751309,      -5.777054341
          0,           0,         197,      -4.783085887,      -7.301336262,       -7.85009242,      -10.16631556,       -5.77840633
