"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         124,      -8.235446966,      -8.235973098,      -8.489667339,      -8.182588163
          0,           0,         125,        -8.2370432,      -8.237381823,      -8.491092976,      -8.184112746
          0,           0,         126,       -8.23776995,      -8.237877753,      -8.492168585,      -8.184767504
          0,           0,         127,      -8.238121475,      -8.237858834,      -8.492910242,      -8.185034495
          0,           0,         128,      -8.237799241,      -8.237195308,       -8.49344378,      -8.184639565
          0,           0,         129,      -8.237264128,      -8.236213552,      -8.493742755,      -8.184023551
          0,           0,         130,      -8.236301717,      -8.234813816,      -8.493936879,      -8.182995367
          0,           0,         131,       -8.23530612,      -8.233298406,      -8.494061314,      -8.181934067
          0,           0,         132,      -8.234021276,      -8.231502503,      -8.494117518,      -8.180609731
          0,           0,         133,       -8.23237602,       -8.22933379,      -8.493935039,      -8.178914667
          0,           0,         134,      -8.229645915,      -8.226166769,      -8.493301675,      -8.176097724
          0,           0,         135,      -8.223879082,      -8.220150356,      -8.493035674,      -8.170095393
          0,           0,         136,      -8.216029253,      -8.211625109,      -8.492046418,      -8.161985414
          0,           0,         137,      -8.206647262,      -8.201001533,      -8.490807276,      -8.152382457
          0,           0,         138,      -8.196175216,      -8.188789667,      -8.489415063,      -8.141817598
          0,           0,         139,      -8.185466096,      -8.175918838,      -8.488053803,      -8.131096507
          0,           0,         140,       -8.17520227,      -8.163774834,      -8.486384308,      -8.120755657
          0,           0,         141,      -8.186898994,      -8.170708906,       -8.48259967,      -8.131695188
          0,           0,         142,      -8.196137099,      -8.184089044,      -8.486190148,      -8.142461773
          0,           0,         143,      -8.211811996,       -8.20416566,      -8.481205864,      -8.158890046
          0,           0,         144,      -8.213429054,      -8.208550614,      -8.480972542,      -8.160377453
          0,           0,         145,      -8.211982335,      -8.207211017,      -8.476854926,      -8.159115023
          0,           0,         146,      -8.208554274,      -8.203418013,      -8.475150704,      -8.155903011
          0,           0,         147,      -8.206073758,      -8.200107515,      -8.475027034,      -8.153317997
          0,           0,         148,      -8.205903544,      -8.199375997,      -8.476943302,      -8.153121926
          0,           0,         149,      -8.209347309,      -8.202379203,      -8.479408556,      -8.156582957
          0,           0,         150,      -8.215229826,      -8.207966071,      -8.482659766,        -8.1625019
          0,           0,         151,      -8.222767152,      -8.215340852,       -8.48667469,      -8.170086557
          0,           0,         152,      -8.230837961,      -8.223487957,      -8.491601227,      -8.178215837
          0,           0,         153,      -8.239511928,      -8.232255523,      -8.496781838,      -8.186892083
          0,           0,         154,      -8.248077366,      -8.240966883,      -8.502137927,      -8.195473562
          0,           0,         155,      -8.256541401,       -8.24959865,      -8.507371899,      -8.203932457
          0,           0,         156,       -8.26445848,      -8.257935132,      -8.512184255,      -8.212012054
          0,           0,         157,      -8.272154058,      -8.265853478,      -8.516775643,      -8.219617014
          0,           0,         158,      -8.278754066,      -8.272508783,      -8.520849904,       -8.22619363
          0,           0,         159,      -8.284589143,      -8.278431186,      -8.524661883,      -8.232041027
          0,           0,         160,      -8.289836323,      -8.283760471,      -8.528131202,      -8.237305901
          0,           0,         161,      -8.294698175,      -8.288719022,      -8.531200068,      -8.242162802
          0,           0,         162,       -8.29898457,      -8.293089161,      -8.533975499,      -8.246443695
