"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
10, 9.701499938960000e-01, -4.256268552403566e-03, 2.178385324100190e+02, -1.437496651826653e+00, -3.292662922196394e-01, 8.767987995912463e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.246075862647698e-01
11, 9.645400047300000e-01, -5.038225493362627e-03, 2.058826061271462e+02, -1.351302891974582e+00, -3.135983324925655e-01, 8.191208670314783e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.049689850138914e-01
12, 9.584699869160000e-01, -5.878077433056352e-03, 1.957763163508663e+02, -1.277991876253341e+00, -2.998806649507902e-01, 7.710179156423281e-04, 0.000000000000000e+00, 0.000000000000000e+00, 8.973210171829987e-02
13, 9.519400000570000e-01, -6.774428848839826e-03, 1.872174395189173e+02, -1.215265881873062e+00, -2.878624316783718e-01, 7.304113904059715e-04, 0.000000000000000e+00, 0.000000000000000e+00, 7.754394714931175e-02
14, 9.449599981310000e-01, -7.724467125531491e-03, 1.798975750668168e+02, -1.161062381935684e+00, -2.771902991710263e-01, 6.959183796216218e-04, 0.000000000000000e+00, 0.000000000000000e+00, 6.764614163468874e-02
15, 9.375399947170000e-01, -8.725349486403867e-03, 1.735832597319300e+02, -1.113864765496720e+00, -2.674421932784529e-01, 6.663889606416625e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.967856138503518e-02
16, 9.296900033950000e-01, -9.774221272349531e-03, 1.681984181433467e+02, -1.072757522557869e+00, -2.588918459572419e-01, 6.408629005186116e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.282016166422384e-02
17, 9.214000105860000e-01, -1.087086069705918e-02, 1.634227628487281e+02, -1.036212325344511e+00, -2.506591596619596e-01, 6.188912959045910e-04, 0.000000000000000e+00, 0.000000000000000e+00, 4.742700857009071e-02
18, 9.126999974250000e-01, -1.200973104171110e-02, 1.594293686830551e+02, -1.004505875592761e+00, -2.434204462771926e-01, 5.996468299499049e-04, 0.000000000000000e+00, 0.000000000000000e+00, 4.217355547967191e-02
19, 9.035800099370001e-01, -1.319055953446835e-02, 1.559130833620387e+02, -9.762330413961190e-01, -2.364630085577828e-01, 5.832948621944944e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.774675839473948e-02
