"PointID","x","y","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
857, 4.122794568538670e-01, -6.023481193613394e-02, -9.401360570033837e-04, 2.408353084008645e-02, -2.410160251488411e-02
883, 3.944020271301270e-01, -6.071658516310487e-02, -4.499020780994109e-04, 3.231827730853293e-02, -3.232105677801950e-02
909, 3.766198158264160e-01, -6.089767886019759e-02, -6.322909959189103e-04, 2.000478976088499e-02, -2.000637875860702e-02
935, 3.590588271617890e-01, -6.080924902210878e-02, 2.003087996418863e-03, 1.495937466622112e-02, -1.498369284422364e-02
961, 3.418258726596830e-01, -6.045412041176711e-02, 3.993019585571148e-04, -1.543549532795048e-02, 1.541941937493590e-02
987, 3.249974250793460e-01, -5.990319875156488e-02, 3.626517420782476e-03, 1.511358581195965e-01, -1.511623666320595e-01
1013, 3.086399734020230e-01, -5.915971842519111e-02, 1.152865013263961e-03, 7.721908159528353e-02, -7.717821387961440e-02
1039, 2.927811741828920e-01, -5.826763013300105e-02, -5.161048796848471e-03, -1.847789285519860e-01, 1.847522876802301e-01
1065, 2.774220108985900e-01, -5.726545848701758e-02, -1.362525071822315e-02, -2.806804955620055e-01, 2.809512819341338e-01
1091, 2.625653147697450e-01, -5.617566141066848e-02, 4.038232206443564e-03, 1.141649242537875e-01, -1.141356364577861e-01
1117, 2.482267022132870e-01, -5.500281992756843e-02, 2.344826651931423e-02, 3.680502816882811e-01, -3.687056939881766e-01
1143, 2.344165146350860e-01, -5.375425397517315e-02, -2.939723141702445e-03, -1.254357234331019e-01, 1.251628743333766e-01
1169, 2.210974693298340e-01, -5.246063610284788e-02, -3.214659695058616e-02, -3.717458273157925e-01, 3.731001350430685e-01
1195, 2.082438766956330e-01, -5.113967176233700e-02, 9.818068524792138e-03, 1.825323593827161e-01, -1.825468150507375e-01
1221, 1.958884000778200e-01, -4.977894267949484e-02, 2.741372724321991e-02, 2.298277986012521e-01, -2.314534180439888e-01
1247, 1.840233504772190e-01, -4.838668531147720e-02, -3.226614121982989e-02, -3.249431848935044e-01, 3.264733960279989e-01
1273, 1.725961565971370e-01, -4.698556526008435e-02, -2.220195617675458e-03, 2.114465935684781e-02, -2.070317198528109e-02
1299, 1.616173982620240e-01, -4.557263865504664e-02, 1.019766692407296e-02, 5.827878548497483e-02, -5.911332630591912e-02
1325, 1.511152982711790e-01, -4.413938337139568e-02, -1.141171087999406e-02, -7.217350659955996e-02, 7.305814625015898e-02
1351, 1.410477757453920e-01, -4.270089497358146e-02, 2.081222740824075e-02, 1.630127713719307e-01, -1.643049979996945e-01
1377, 1.314679384231570e-01, -4.124224541407844e-02, -1.974876978870326e-02, -1.732977945555194e-01, 1.742777566146088e-01
1403, 1.222792565822600e-01, -3.979174465982024e-02, -1.913235791103364e-02, -9.834281518192652e-02, 1.001344128938890e-01
1429, 1.134960949420930e-01, -3.834441806176426e-02, 3.451765761953956e-02, 2.179092731554121e-01, -2.206128855579064e-01
1455, 1.051684617996220e-01, -3.688828722101183e-02, -2.670447458221150e-02, -1.751773334497394e-01, 1.771469344901070e-01
1481, 9.719923138618471e-02, -3.544614701188682e-02, -9.508027581372026e-03, -4.628314316103494e-02, 4.724110679994314e-02
1507, 8.964005112648010e-02, -3.400533055852326e-02, 1.363224581861235e-02, 7.366680189863600e-02, -7.491388143371105e-02
1533, 8.247101306915280e-02, -3.257009993991057e-02, -1.566085810949386e-03, -2.143701692160787e-03, 2.413672249188484e-03
1559, 7.564741373062130e-02, -3.114823896883738e-02, 1.562254453030803e-03, 1.100921652065577e-02, -1.109307523722479e-02
