"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Adjoint_Nu_Tilde","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
493, 6.594728827476500e-01, -3.404105683734733e-02, 1.908247185606406e-02, -1.882339092127259e-05, 1.629534051081812e-04, -1.173211136793495e-07, -4.512006263634403e-04, -9.899202572159021e-03, 1.536352529906375e-01, 1.534167693911797e-01
519, 6.418011188507080e-01, -3.666389236787319e-02, 1.673513374851610e-02, -1.616342744687454e-05, 1.495721547853998e-04, -1.094843736198860e-07, -4.576310989708031e-04, -8.261932604988328e-03, 1.658473388856492e-01, 1.652710194990663e-01
545, 6.243042349815370e-01, -3.924345986547297e-02, 1.273488801699539e-02, -1.333712716585539e-05, 1.440321073656211e-04, -1.286130402916076e-07, -4.805234984450673e-04, -6.742089549953124e-03, 4.588767282010669e-02, 4.637964486240781e-02
571, 6.065399646759030e-01, -4.165014088816309e-02, 1.241795203039547e-02, -1.230923092495288e-05, 1.420785566909332e-04, -1.554683006189518e-07, -4.778276368559203e-04, 1.893498765073817e-02, -9.562775708540266e-02, -9.728984340735207e-02
597, 5.888153314590450e-01, -4.396604770682719e-02, 1.478499509091952e-02, -1.332419744839706e-05, 1.442529731697125e-04, -1.229123385796786e-07, -4.604787694798095e-04, 2.217385961839036e-02, -3.675353434136363e-02, -3.931174985939321e-02
623, 5.713157057762150e-01, -4.624249182324008e-02, 1.404885136733156e-02, -1.396529262053836e-05, 1.602801227795345e-04, -1.009393988442775e-07, -4.671512168469136e-04, 2.435664812637240e-02, -1.383692668434383e-01, -1.403351841219975e-01
649, 5.538190603256230e-01, -4.840967831978546e-02, 1.226455750779813e-02, -8.768092300183181e-06, 1.216448183941955e-04, -1.704625536530314e-07, -4.621773250321361e-04, 3.789323648312202e-02, -2.912456127207004e-01, -2.936877464997089e-01
675, 5.363336801528930e-01, -5.046454146635965e-02, 1.017566446168012e-02, -6.511501302437456e-06, 1.066047693114635e-04, -1.405967681923349e-07, -4.620543381964734e-04, 4.728370750443191e-02, -3.668477187765595e-01, -3.698400453130241e-01
701, 5.188096761703490e-01, -5.238443003368642e-02, 4.560884689885726e-03, -2.396868513717333e-06, 9.121731111304965e-05, -1.825411257722788e-07, -4.923569507917439e-04, 7.551874476930959e-02, -7.259524512182137e-01, -7.298694599230264e-01
727, 5.012295246124270e-01, -5.415441646888541e-02, 4.915220927384605e-03, -7.072003277834226e-06, 1.448336136426869e-04, -1.192121288916726e-07, -4.869368804273791e-04, 7.975309215913996e-02, -9.495469113820166e-01, -9.528252916689496e-01
