"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Adjoint_Nu_Tilde","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
1429, 1.134960949420930e-01, -3.766051897490638e-02, -8.184880350314512e-03, -4.783093853283221e-07, -1.320774776524789e-05, -3.264265037428334e-08, -1.228683309717505e-04, -7.562295265253530e-02, -4.149369873022472e-01, -4.217318129760680e-01
1455, 1.051684617996220e-01, -3.621966326312332e-02, -7.925886904862936e-03, -4.080321635955715e-06, -2.933167204977879e-05, -5.818635870139091e-08, -1.086799868488690e-04, -8.073872317466267e-02, -3.933860717954328e-01, -4.014242880970869e-01
1481, 9.719923138618471e-02, -3.479511722376509e-02, -7.484601410952920e-03, -4.182304462664950e-06, -2.815497517429984e-05, -3.862428249933828e-08, -1.001332032782783e-04, -6.206945489599793e-02, -3.101341289873961e-01, -3.162424772364772e-01
1507, 8.964005112648010e-02, -3.337384482851740e-02, -7.407791499379091e-03, -2.334884052269240e-06, -1.843562535957028e-05, -3.335666156076732e-08, -9.891457178012944e-05, -6.642186131539324e-02, -2.998699157222504e-01, -3.070194052708625e-01
1533, 8.247101306915280e-02, -3.195988081508007e-02, -7.818096276304826e-03, -4.562176056306437e-06, -2.779163927785955e-05, -3.664722187103028e-08, -9.392396037427910e-05, -6.537188453618618e-02, -2.935179056291531e-01, -3.006447993256376e-01
1559, 7.564741373062130e-02, -3.056089446453186e-02, -7.677972075039928e-03, -4.526902465302169e-06, -2.633641500776819e-05, -3.985694264611756e-08, -8.689218328960697e-05, -6.945977291616803e-02, -2.918549392593571e-01, -2.998963771735157e-01
1585, 6.917616724967959e-02, -2.917426300155384e-02, -6.917956108698673e-03, -4.918621042259433e-06, -2.547520889676127e-05, -3.277371850438263e-08, -7.519446494045136e-05, -6.298709968050828e-02, -2.489493408096616e-01, -2.566457669764026e-01
1611, 6.298619508743290e-02, -2.781146271008144e-02, -6.828131146375873e-03, -5.078583453904798e-06, -2.589213196820928e-05, -2.776964582765250e-08, -7.282627285539149e-05, -5.064978083259407e-02, -1.983109167405526e-01, -2.045912022924985e-01
1637, 5.711802840232850e-02, -2.646355868903696e-02, -6.899676749972859e-03, -5.446559278133668e-06, -2.640606079295006e-05, -3.186703464608294e-08, -7.194356178250075e-05, -5.037243020504228e-02, -1.883062154373228e-01, -1.948445689007695e-01
1663, 5.161416530609130e-02, -2.512159469484643e-02, -6.564702891332518e-03, -5.723947859769424e-06, -2.531603522545607e-05, -2.861059042419880e-08, -6.682255977356935e-05, -4.975571465841083e-02, -1.752792129016759e-01, -1.821119172032428e-01
1689, 4.642483592033390e-02, -2.379307066213949e-02, -6.271199881388546e-03, -5.551535815380619e-06, -2.334048219912333e-05, -2.319920902140279e-08, -6.393595374552329e-05, -4.461753955276885e-02, -1.507722431343635e-01, -1.571647982346487e-01
1715, 4.156750440597530e-02, -2.247335364388405e-02, -5.870244464500371e-03, -5.549898022340200e-06, -2.185818519079485e-05, -2.363601964917812e-08, -5.997066446544961e-05, -4.488944195832486e-02, -1.401172681220632e-01, -1.470194996592721e-01
1741, 3.698146343231200e-02, -2.117058558693741e-02, -5.383483885135222e-03, -5.665025366534543e-06, -2.075405579569479e-05, -1.964045062715688e-08, -5.509307836818301e-05, -4.043475177474510e-02, -1.202695837324030e-01, -1.267753132568087e-01
1767, 3.265759348869320e-02, -1.988431734102658e-02, -5.165577991519754e-03, -5.771264371709386e-06, -2.020277554241515e-05, -1.704768338499314e-08, -5.614555998000683e-05, -3.084738402268547e-02, -8.575718700941709e-02, -9.103020782856389e-02
1793, 2.861636877059940e-02, -1.861042522224894e-02, -4.971807806153672e-03, -5.833585022672765e-06, -1.910557457778060e-05, -1.648068506064180e-08, -5.955270599750522e-05, -2.708249959080221e-02, -6.884651239478738e-02, -7.385807295786743e-02
1819, 2.490270137786870e-02, -1.734070211439584e-02, -4.536470632031403e-03, -6.022514847669649e-06, -1.790253689656679e-05, -1.689589428133742e-08, -5.854883329574482e-05, -2.926111526130109e-02, -6.877661739593949e-02, -7.458929892549046e-02
1845, 2.143678069114690e-02, -1.608508827547003e-02, -4.105371859774852e-03, -5.945764828062472e-06, -1.652879816895494e-05, -1.223768131303885e-08, -5.813356080728248e-05, -2.375008451119808e-02, -5.200922183489953e-02, -5.702892882122553e-02
1871, 1.820489764213560e-02, -1.484423386881363e-02, -3.762333694421567e-03, -6.039081812288143e-06, -1.571875567491984e-05, -1.312973808705009e-08, -6.073125621967150e-05, -1.623345537847579e-02, -2.904010176341755e-02, -3.299141789283353e-02
1897, 1.524919271469120e-02, -1.361104642479964e-02, -3.373055941362546e-03, -6.029808430912358e-06, -1.427176802325337e-05, -1.160763486805892e-08, -6.072674842762448e-05, -1.600285463682613e-02, -2.702325249301622e-02, -3.116709510025246e-02
1923, 1.256430149078370e-02, -1.238467776505934e-02, -2.956522756995171e-03, -5.992738124234592e-06, -1.272390586172226e-05, -1.020987312738503e-08, -5.659585812645013e-05, -1.390099227526062e-02, -2.053493496627426e-02, -2.453562920616249e-02
1949, 1.017087697982790e-02, -1.116046253698699e-02, -2.570958161073139e-03, -5.839959170183733e-06, -1.098804839622535e-05, -8.607392694739386e-09, -5.050098928064354e-05, -1.440789379835174e-02, -1.961371404226285e-02, -2.411399407663113e-02
1975, 8.062899112701419e-03, -9.936591811408236e-03, -2.257601806296944e-03, -5.686669078878255e-06, -9.507426429878973e-06, -7.800216686448780e-09, -4.174081899298453e-05, -1.810475199680779e-02, -2.386250463454937e-02, -2.980151123452616e-02
2001, 6.177186965942380e-03, -8.721065614052823e-03, -2.022234380556759e-03, -5.482375358197180e-06, -8.302317932193640e-06, -6.369701908345115e-09, -2.934612095360667e-05, -2.006155513145656e-02, -2.555494738137651e-02, -3.239963868254929e-02
