"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
2911, 6.365954875946039e-02, 2.608239137624311e-02, 2.165247815280730e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.820849137708508e+04, 0.000000000000000e+00, 1.928339655083403e+04, 3.102460555176413e+02, 0.000000000000000e+00, -1.324023017985321e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.894000308314409e-05, 5.421014885329478e-03, 1.044512973425354e-03, -1.163981446244779e+03, 2.398535443267334e+00, 0.000000000000000e+00
2937, 6.838649511337280e-02, 2.698294495016851e-02, 2.184835108712377e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.866347582260935e+04, 0.000000000000000e+00, 1.946539032904373e+04, 3.103664695725384e+02, 0.000000000000000e+00, -1.311493441911154e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.894560740240237e-05, 5.375173991412836e-03, 1.002987087264411e-03, -1.137134316397665e+03, 2.402123348829724e+00, 0.000000000000000e+00
2963, 7.332068681716920e-02, 2.788512310839561e-02, 2.202842545148861e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.908301964270072e+04, 0.000000000000000e+00, 1.963320785708028e+04, 3.104832344818079e+02, 0.000000000000000e+00, -1.299939846481701e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.895104086241339e-05, 5.327091145344504e-03, 9.613581553012481e-04, -1.110950744342018e+03, 2.403112875810705e+00, 0.000000000000000e+00
2989, 7.843562960624691e-02, 2.879647078159463e-02, 2.222246482016365e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.953524559663313e+04, 0.000000000000000e+00, 1.981409823865325e+04, 3.106078517077681e+02, 0.000000000000000e+00, -1.287486235048942e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.895683860900259e-05, 5.266154244778168e-03, 9.224815237383291e-04, -1.083962237806789e+03, 2.402502915402283e+00, 0.000000000000000e+00
3015, 8.375442028045650e-02, 2.971281859472451e-02, 2.239102145190534e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.992854806014765e+04, 0.000000000000000e+00, 1.997141922405906e+04, 3.107172520579244e+02, 0.000000000000000e+00, -1.276655286463251e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.896192745649520e-05, 5.220270303400549e-03, 8.851255336436582e-04, -1.063498244433949e+03, 2.402810488277866e+00, 0.000000000000000e+00
3041, 8.928063511848450e-02, 3.063530109755254e-02, 2.254447169275967e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.028786428131077e+04, 0.000000000000000e+00, 2.011514571252431e+04, 3.108232274950647e+02, 0.000000000000000e+00, -1.266760267035591e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.896685615146029e-05, 5.179801821371940e-03, 8.514863026597696e-04, -1.051216324905664e+03, 2.402998016473743e+00, 0.000000000000000e+00
3067, 9.501701593399051e-02, 3.156423034021087e-02, 2.264608637580230e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.052347204283386e+04, 0.000000000000000e+00, 2.020938881713354e+04, 3.108782692423201e+02, 0.000000000000000e+00, -1.260271989467627e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.896941570149741e-05, 5.161596661226926e-03, 8.162228192642100e-04, -1.038573909253596e+03, 2.406029016844656e+00, 0.000000000000000e+00
3093, 1.010102331638340e-01, 3.249014683885759e-02, 2.276917657177298e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.080830433350292e+04, 0.000000000000000e+00, 2.032332173340116e+04, 3.109408008054136e+02, 0.000000000000000e+00, -1.252428143618777e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.897232327241528e-05, 5.126363089371789e-03, 7.835554714100626e-04, -1.019709182104048e+03, 2.405286126318258e+00, 0.000000000000000e+00
3119, 1.072062253952030e-01, 3.342732930510818e-02, 2.289804312567688e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.110895222189251e+04, 0.000000000000000e+00, 2.044358088875700e+04, 3.110204499233353e+02, 0.000000000000000e+00, -1.244148760386732e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.897602635312106e-05, 5.079633326148328e-03, 7.516109380729542e-04, -1.001339280278458e+03, 2.402829915899027e+00, 0.000000000000000e+00
3145, 1.136637628078460e-01, 3.436243380821671e-02, 2.302313867088530e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.140561289292610e+04, 0.000000000000000e+00, 2.056224515717044e+04, 3.111260310185377e+02, 0.000000000000000e+00, -1.235979179025229e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.898093435560321e-05, 5.011460044398597e-03, 7.150014781628129e-04, -9.744226036046284e+02, 2.394074794955083e+00, 0.000000000000000e+00
3171, 1.203565001487730e-01, 3.530352223167036e-02, 2.320789239152367e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.183505171719637e+04, 0.000000000000000e+00, 2.073402068687854e+04, 3.112276480022367e+02, 0.000000000000000e+00, -1.224153090307635e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.898565731039065e-05, 4.950116763498177e-03, 6.884469867966424e-04, -9.462146051891608e+02, 2.388946057007836e+00, 0.000000000000000e+00
