"PointID","x","y"
1559, 7.564741373062130e-02, -3.439040669876602e-02
1585, 6.917616724967959e-02, -3.299657827795035e-02
1611, 6.298619508743290e-02, -3.160936363417659e-02
1637, 5.711802840232850e-02, -3.021983387388165e-02
1663, 5.161416530609130e-02, -2.881968870940625e-02
1689, 4.642483592033390e-02, -2.741638463643077e-02
1715, 4.156750440597530e-02, -2.600603538562581e-02
1741, 3.698146343231200e-02, -2.459603068249916e-02
1767, 3.265759348869320e-02, -2.318572240612202e-02
1793, 2.861636877059940e-02, -2.177177941804910e-02
1819, 2.490270137786870e-02, -2.034854815033551e-02
1845, 2.143678069114690e-02, -1.892355718103592e-02
1871, 1.820489764213560e-02, -1.749678751026772e-02
1897, 1.524919271469120e-02, -1.606404529682696e-02
1923, 1.256430149078370e-02, -1.462535682902882e-02
1949, 1.017087697982790e-02, -1.317965462521787e-02
1975, 8.062899112701419e-03, -1.172751407093685e-02
2001, 6.177186965942380e-03, -1.027203397028464e-02
2027, 4.468053579330440e-03, -8.814235306617109e-03
2053, 3.018766641616820e-03, -7.351144611011144e-03
2079, 1.912891864776610e-03, -5.882711193855158e-03
2105, 1.121968030929570e-03, -4.411676897583145e-03
2131, 5.391836166381840e-04, -2.940178449071075e-03
2157, 1.753866672515870e-04, -1.469550072025032e-03
2183, 0.000000000000000e+00, 0.000000000000000e+00
2209, 1.051127910614010e-04, 1.172529645929950e-03
2235, 3.451704978942870e-04, 2.338420238979754e-03
2261, 7.326900959014890e-04, 3.495724075572037e-03
2287, 1.276999711990360e-03, 4.642580474660745e-03
2313, 1.973092555999760e-03, 5.777872389972219e-03
2339, 2.858132123947140e-03, 6.898210631279391e-03
2365, 3.939032554626460e-03, 8.001966947366398e-03
2391, 5.185037851333620e-03, 9.090745818562364e-03
2417, 6.539613008499150e-03, 1.017008145723670e-02
2443, 7.984459400177000e-03, 1.124242961249241e-02
2469, 9.577721357345579e-03, 1.230256480749823e-02
2495, 1.134461164474490e-02, 1.334815396633738e-02
2521, 1.328635215759280e-02, 1.437902990691853e-02
2547, 1.542121171951290e-02, 1.539297777940996e-02
2573, 1.774638891220090e-02, 1.639069131614478e-02
2599, 2.023851871490480e-02, 1.737566079954696e-02
2625, 2.291005849838260e-02, 1.834669331647264e-02
2651, 2.576607465744020e-02, 1.930373709830706e-02
2677, 2.879580855369570e-02, 2.024917331368931e-02
2703, 3.199326992034910e-02, 2.118492810586692e-02
2729, 3.537228703498840e-02, 2.210963873329317e-02
2755, 3.891497850418090e-02, 2.302764799634287e-02
2781, 4.259017109870910e-02, 2.394589343284973e-02
2807, 4.645630717277530e-02, 2.485501228436869e-02
