"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Adjoint_Nu_Tilde","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
1767, 3.265759348869320e-02, -1.878082478606364e-02, 6.010897944347966e-04, 1.067387130105388e-05, 3.074133699816628e-05, 2.484043258923466e-08, -3.170802444915706e-05, -1.983476541153768e-01, -6.530872927444654e-01, -6.824992426413837e-01
1793, 2.861636877059940e-02, -1.747243203785554e-02, 6.576861547675297e-04, 1.089285565960316e-05, 2.972081281269648e-05, 2.314728655574803e-08, -3.372122201207940e-05, -1.894701941526148e-01, -5.888319409340019e-01, -6.185212705097893e-01
1819, 2.490270137786870e-02, -1.618397303462473e-02, 8.209245865777653e-04, 1.092432380846816e-05, 2.848533659928879e-05, 1.954965535883431e-08, -3.343126036469335e-05, -1.836734344071649e-01, -5.378281320187728e-01, -5.682867215598386e-01
1845, 2.143678069114690e-02, -1.492527142990583e-02, 9.488486665534925e-04, 1.116672192686834e-05, 2.801149254182744e-05, 2.210299276573934e-08, -3.409991668453453e-05, -1.731214846836751e-01, -4.866843553907311e-01, -5.165101567243974e-01
1871, 1.820489764213560e-02, -1.369768788073889e-02, 1.028235217118958e-03, 1.118389679087491e-05, 2.652776277689284e-05, 1.905882594861387e-08, -3.686218204768201e-05, -1.639788814245082e-01, -4.347536204503242e-01, -4.646067926026705e-01
1897, 1.524919271469120e-02, -1.249437035683980e-02, 1.196049015054499e-03, 1.152595504629354e-05, 2.567116373317403e-05, 1.846458218962622e-08, -3.714889751020171e-05, -1.587829704315490e-01, -3.917949574953766e-01, -4.227015139641854e-01
1923, 1.256430149078370e-02, -1.131442894718219e-02, 1.405729759868741e-03, 1.205886814748846e-05, 2.479202546532605e-05, 1.758655090824039e-08, -3.716274312906686e-05, -1.518046310471768e-01, -3.432893356958784e-01, -3.753093766449524e-01
1949, 1.017087697982790e-02, -1.015221343905586e-02, 1.618708407539468e-03, 1.293819002792060e-05, 2.407775167428750e-05, 1.775906633542703e-08, -3.597598347955165e-05, -1.420143089366815e-01, -2.906048879288303e-01, -3.233873690982322e-01
1975, 8.062899112701419e-03, -9.004723828661260e-03, 1.817377981948597e-03, 1.364930893845130e-05, 2.308267797654328e-05, 1.624932855628254e-08, -3.140375653574676e-05, -1.250009829103011e-01, -2.323909807047019e-01, -2.638036680759053e-01
2001, 6.177186965942380e-03, -7.881479828247159e-03, 1.964051993424131e-03, 1.404625063225708e-05, 2.206595022340123e-05, 1.588670767894971e-08, -2.437245520495458e-05, -1.028275594994633e-01, -1.773837492119317e-01, -2.049639725873524e-01
2027, 4.468053579330440e-03, -6.794332399674504e-03, 2.139095585285676e-03, 1.470870224825411e-05, 2.084454026829465e-05, 1.544910048215342e-08, -1.535916484481351e-05, -7.320106209037627e-02, -1.137335610736806e-01, -1.352035789320459e-01
2053, 3.018766641616820e-03, -5.724135346647164e-03, 2.456410351885040e-03, 1.655461748242864e-05, 1.909347396667968e-05, 1.338119134539939e-08, -4.134369842592424e-06, -2.766345280738797e-02, -3.689454149692955e-02, -4.603533920866316e-02
2079, 1.912891864776610e-03, -4.634803264800907e-03, 2.794873982039430e-03, 1.977527030985618e-05, 1.663283268356842e-05, 1.281437958242651e-08, 1.705923120975967e-06, 3.843834720618076e-02, 3.338544589551987e-02, 5.091141017953481e-02
2105, 1.121968030929570e-03, -3.509644210356401e-03, 2.964659193309912e-03, 2.254558048837396e-05, 1.348873262661848e-05, 1.258127397740109e-08, 1.645834386814141e-05, 1.076963151810037e-01, 7.243535247040606e-02, 1.296509816939969e-01
2131, 5.391836166381840e-04, -2.373201877062937e-03, 2.938142765016786e-03, 2.480664527971601e-05, 1.002846657870060e-05, 1.297147426878904e-08, 3.784235198189589e-05, 1.463068840731491e-01, 7.556245607525368e-02, 1.640310495668466e-01
2157, 1.753866672515870e-04, -1.198839591723357e-03, 2.964705668633158e-03, 2.688960241854330e-05, 6.064967987697183e-06, 1.262498231371756e-08, 5.288575241032529e-05, 1.303154778256617e-01, 5.097733087325557e-02, 1.383710500390596e-01
2183, 0.000000000000000e+00, 0.000000000000000e+00, 2.824267857499130e-03, 2.641447550034749e-05, 7.984119981623891e-07, 1.499636936293240e-08, 6.114308222295281e-05, 1.552807511271770e-03, 4.719371619159077e-02, 2.998050938623431e-03
2209, 1.051127910614010e-04, 1.093685636260586e-03, 2.841426245811279e-03, 2.473181340167977e-05, -3.861417096798853e-06, 1.169531175370143e-08, 4.659645774751930e-05, -8.231368890856984e-02, 3.084912529453818e-02, -8.614697685640922e-02
2235, 3.451704978942870e-04, 2.162688619129925e-03, 2.932800440138675e-03, 2.372605502631546e-05, -6.870853320916672e-06, 1.370337910872451e-08, 4.364895338901797e-05, -1.856106395288624e-01, 9.144323353812242e-02, -2.039599434498818e-01
2261, 7.326900959014890e-04, 3.207564015883250e-03, 3.105710363241383e-03, 2.202092384031176e-05, -9.707603908543523e-06, 1.456089805996885e-08, 6.244868785347518e-05, -3.290631844326103e-01, 1.977795676245392e-01, -3.812571743526747e-01
2287, 1.276999711990360e-03, 4.231510483722236e-03, 3.178005993231911e-03, 2.055216892697201e-05, -1.225704380988560e-05, 1.498142632301384e-08, 7.919603978316399e-05, -4.067680011022770e-01, 2.995676392047806e-01, -5.032793376541499e-01
2313, 1.973092555999760e-03, 5.239193093341844e-03, 3.113677006906557e-03, 1.873917929854071e-05, -1.454904660673092e-05, 1.371355410597588e-08, 9.714485395781672e-05, -4.550815422044696e-01, 3.963634195098852e-01, -6.028559703369006e-01
2339, 2.858132123947140e-03, 6.224742350595495e-03, 3.135804547935983e-03, 1.696120635273403e-05, -1.671404145523445e-05, 1.029338648387641e-08, 9.053465175690800e-05, -4.021814433113474e-01, 3.990675657724274e-01, -5.665559126738106e-01
2365, 3.939032554626460e-03, 7.190036415341466e-03, 3.363709131626229e-03, 1.516666161134091e-05, -1.785169988376754e-05, 9.057798133598645e-09, 5.829265703736771e-05, -2.779351291690512e-01, 3.089372389542899e-01, -4.151728404731390e-01
2391, 5.185037851333620e-03, 8.143067439286054e-03, 3.551565861400696e-03, 1.373005506019716e-05, -1.785716271189158e-05, 1.234736955594257e-08, 2.780812969056882e-05, -1.791428389430527e-01, 2.304298070216602e-01, -2.917545836784236e-01
2417, 6.539613008499150e-03, 9.095323658940979e-03, 4.041672288409181e-03, 1.322441206691916e-05, -1.850432546212669e-05, 1.151147588534099e-08, 1.941822492884951e-05, -1.280824927411124e-01, 1.760347838099978e-01, -2.175947615315096e-01
2443, 7.984459400177000e-03, 1.004958199976882e-02, 4.365425151116294e-03, 1.245982302721617e-05, -1.908268376071054e-05, 1.405092620713939e-08, 2.394669913582380e-05, -2.023754192381829e-01, 3.259121218570901e-01, -3.836312845046177e-01
2469, 9.577721357345579e-03, 1.099556834906530e-02, 4.479166670434403e-03, 1.091085262692337e-05, -1.875433392513954e-05, 1.759569844752494e-08, 3.110614781842135e-05, -3.161553818412092e-01, 5.904234794873845e-01, -6.696259416585035e-01
2495, 1.134461164474490e-02, 1.193009976748288e-02, 4.475840375059763e-03, 1.013737736190814e-05, -1.917243942128794e-05, 1.695109789568847e-08, 3.122928377173418e-05, -3.306377584180838e-01, 6.887075377950392e-01, -7.638532580140323e-01
2521, 1.328635215759280e-02, 1.285400074620422e-02, 4.418123361704237e-03, 9.302697010139135e-06, -1.904282243627490e-05, 1.670469218324203e-08, 2.912091072959572e-05, -2.855184741345008e-01, 6.596318332802664e-01, -7.186980687008026e-01
2547, 1.542121171951290e-02, 1.376508200058526e-02, 4.638394591645307e-03, 8.548870497050634e-06, -1.906728859654321e-05, 1.723062329555929e-08, 2.918139820431576e-05, -2.449682806815107e-01, 6.227935110120453e-01, -6.691988983493690e-01
2573, 1.774638891220090e-02, 1.466512695798331e-02, 4.861588803207812e-03, 7.885080438186958e-06, -1.893900570454124e-05, 1.934322478491858e-08, 2.857315770536593e-05, -2.317646870816952e-01, 6.428155105550534e-01, -6.832828857756557e-01
2599, 2.023851871490480e-02, 1.555913626640197e-02, 5.025472318309917e-03, 7.330645133155840e-06, -1.883909698576372e-05, 2.162073512235535e-08, 2.824581134928462e-05, -2.291344725416140e-01, 6.863385773078861e-01, -7.235415658108597e-01
2625, 2.291005849838260e-02, 1.644577134382396e-02, 5.122823297871586e-03, 6.858702555755786e-06, -1.881331748962358e-05, 2.327975253050300e-08, 2.810993469390365e-05, -2.238075436092384e-01, 7.193780721203352e-01, -7.533668724740071e-01
2651, 2.576607465744020e-02, 1.732515426110103e-02, 5.158222060421034e-03, 6.449154020426050e-06, -1.870961757329022e-05, 2.493228131270855e-08, 2.750296742997127e-05, -2.192994084471580e-01, 7.522550278200867e-01, -7.835544361968829e-01
2677, 2.879580855369570e-02, 1.820015786261586e-02, 5.152505501018534e-03, 6.093524490693585e-06, -1.855174857567773e-05, 2.657819395691608e-08, 2.673851958146534e-05, -2.179019513962445e-01, 7.921495950905105e-01, -8.215619966942446e-01
2703, 3.199326992034910e-02, 1.907287365431256e-02, 5.102572232498222e-03, 5.764141875524819e-06, -1.839807785340371e-05, 2.736952821520090e-08, 2.555754416131675e-05, -2.138348999916101e-01, 8.191159533603422e-01, -8.465621505195705e-01
2729, 3.537228703498840e-02, 1.994167188695972e-02, 4.985908004715875e-03, 5.885799649322001e-06, -1.896978861063476e-05, 2.795645646217439e-08, 2.250910277422003e-05, -1.956333199250197e-01, 7.862475819684817e-01, -8.102188277427487e-01
2755, 3.891497850418090e-02, 2.081112603572794e-02, 5.174592184694271e-03, 5.550596754362178e-06, -1.817376202596957e-05, 2.969979997696761e-08, 2.410909767007745e-05, -1.804972325994252e-01, 7.523143183550201e-01, -7.736625928064835e-01
2781, 4.259017109870910e-02, 2.168830117117255e-02, 5.508969731122153e-03, 5.033821215659373e-06, -1.833485194292166e-05, 3.468827481809433e-08, 2.994109391555595e-05, -1.968786754796192e-01, 8.495295342824923e-01, -8.720444009236709e-01
2807, 4.645630717277530e-02, 2.256296002695449e-02, 4.852109688622681e-03, 5.263425461662555e-06, -1.907152386539927e-05, 3.409594453473914e-08, 2.693186616664325e-05, -2.077215330487974e-01, 9.451606466460317e-01, -9.677156469519091e-01
2833, 5.049252510070800e-02, 2.344061193620871e-02, 4.202885804816579e-03, 3.975618439755211e-06, -1.332702022736560e-05, 3.032369536617427e-08, 2.525412990801531e-05, -1.965820660759537e-01, 9.295102082425061e-01, -9.500685776046255e-01
2859, 5.469727516174320e-02, 2.432264124625887e-02, 4.609196869555766e-03, 4.840517321808714e-06, -1.831293295371251e-05, 3.711479026316884e-08, 2.581247971877543e-05, -1.948390988014203e-01, 9.570400520597552e-01, -9.766706068132309e-01
2885, 5.909299850463870e-02, 2.520593314734532e-02, 4.459568535511593e-03, 5.145021671941018e-06, -1.884673376617987e-05, 3.698819444632937e-08, 2.298497480670299e-05, -1.838916891884489e-01, 9.421843386349812e-01, -9.599590320728282e-01
2911, 6.365954875946039e-02, 2.609588469861046e-02, 4.787164821885417e-03, 4.667760358624242e-06, -1.773416390078626e-05, 4.087002574216314e-08, 2.782764221351205e-05, -1.720165006757761e-01, 9.048362585564108e-01, -9.210392235202673e-01
2937, 6.838649511337280e-02, 2.699627527171523e-02, 4.606139727624389e-03, 3.432318986344428e-06, -1.348506957624371e-05, 3.888806174126580e-08, 3.267691058349573e-05, -1.891480371163093e-01, 1.020270862068327e+00, -1.037655159902625e+00
2963, 7.332068681716920e-02, 2.789828333477835e-02, 3.858173989528023e-03, 4.161066564424098e-06, -1.563843351731499e-05, 4.031648597189926e-08, 2.794223834506879e-05, -1.947378955079367e-01, 1.099592704853744e+00, -1.116697794542908e+00
2989, 7.843562960624691e-02, 2.880946053683317e-02, 4.006216819805432e-03, 4.506344942759500e-06, -1.762940724620859e-05, 4.556356112643898e-08, 2.819161557730917e-05, -1.834338833294229e-01, 1.056427940639586e+00, -1.072233899541498e+00
3015, 8.375442028045650e-02, 2.972564261971395e-02, 4.211864795070888e-03, 3.849663358075660e-06, -1.464218619473377e-05, 4.366072524569838e-08, 3.156522470761216e-05, -1.816061855268222e-01, 1.084419646109958e+00, -1.099518957076446e+00
3041, 8.928063511848450e-02, 3.064797002635420e-02, 4.563242596442941e-03, 4.089155361723582e-06, -1.797198652436651e-05, 5.267292846152992e-08, 3.675357023052533e-05, -1.861369098242491e-01, 1.144611837831411e+00, -1.159646216567214e+00
3067, 9.501701593399051e-02, 3.157676077434058e-02, 3.705593666663429e-03, 3.849045102608981e-06, -1.598359771675911e-05, 4.809638673741231e-08, 3.426595388303113e-05, -1.989377384788561e-01, 1.267031527202499e+00, -1.282553396798510e+00
3093, 1.010102331638340e-01, 3.250256059111956e-02, 2.889084588101658e-03, 3.855074600499571e-06, -1.457863532688821e-05, 5.090835345800717e-08, 3.069686254662703e-05, -1.913796337079357e-01, 1.279499765402375e+00, -1.293726724102680e+00
3119, 1.072062253952030e-01, 3.343965544799255e-02, 2.966446116040090e-03, 3.071065713756311e-06, -1.109872063125562e-05, 4.715993264121097e-08, 3.251556180637067e-05, -1.903065056834019e-01, 1.292864626816646e+00, -1.306795535759461e+00
3145, 1.136637628078460e-01, 3.437470668216973e-02, 3.148731231206562e-03, 4.557542537791250e-06, -1.921790874051239e-05, 5.588721653803578e-08, 2.924615698865189e-05, -1.871991480682006e-01, 1.333634000743549e+00, -1.346704846429875e+00
3171, 1.203565001487730e-01, 3.531578251631529e-02, 3.552870516086142e-03, 4.303446343777733e-06, -1.777031289097671e-05, 5.774239297503874e-08, 3.175878711865784e-05, -1.795148845835360e-01, 1.307773729462830e+00, -1.320034930979383e+00
3197, 1.272729039192200e-01, 3.626744500941560e-02, 4.211400663023233e-03, 4.183012770843490e-06, -1.892921788104788e-05, 6.274718178924060e-08, 3.892905229878633e-05, -1.788664884691131e-01, 1.331499811796250e+00, -1.343459493470392e+00
3223, 1.344466507434840e-01, 3.722191007036938e-02, 3.825560635367717e-03, 3.661629106821537e-06, -1.714089506101315e-05, 6.567885676883297e-08, 4.371384996478600e-05, -1.893683158939366e-01, 1.458620337886383e+00, -1.470861466793569e+00
3249, 1.419069468975070e-01, 3.817180288737792e-02, 2.218868117833238e-03, 3.551231166677010e-06, -1.397645033317572e-05, 6.228063017469394e-08, 3.890248242732766e-05, -1.956212147904051e-01, 1.586724142807244e+00, -1.598735847606090e+00
3275, 1.496536135673520e-01, 3.911799882466351e-02, 1.404903376570526e-03, 3.102930482815884e-06, -9.427989579993375e-06, 5.914471619991990e-08, 3.625734950075882e-05, -1.906604543907291e-01, 1.600425283402437e+00, -1.611741642250965e+00
3301, 1.576814949512480e-01, 4.006268400597086e-02, 1.940163669985158e-03, 3.972147768864900e-06, -1.709376396610675e-05, 7.027434813872732e-08, 3.680721123550808e-05, -1.853685627525445e-01, 1.621835875435407e+00, -1.632394774810829e+00
3327, 1.660248339176180e-01, 4.099566230218531e-02, 1.664652546386523e-03, 3.925978379733038e-06, -1.562441320279425e-05, 6.963208011383236e-08, 3.577277638494109e-05, -1.802258973875040e-01, 1.653822346194889e+00, -1.663611227850569e+00
3353, 1.746245622634890e-01, 4.193711772914635e-02, 1.459117548575317e-03, 3.332916038036519e-06, -1.171309157340055e-05, 7.017805657439480e-08, 3.772311647667395e-05, -1.799813553383618e-01, 1.689115925232995e+00, -1.698676183437476e+00
