"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
1689, 4.642483592033390e-02, -2.309670086303731e-02, 5.052232190336703e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.150248859293584e+05, 0.000000000000000e+00, 4.600995437174336e+04, 3.172479659253227e+02, 0.000000000000000e+00, 5.159983427000704e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.926412652536006e-05, 2.866196240901227e-03, -8.039111427969024e-04, -2.680938535023124e+02, 2.664136136851825e+00, 0.000000000000000e+00
1715, 4.156750440597530e-02, -2.169825398416047e-02, 5.108966961346175e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.163531187081249e+05, 0.000000000000000e+00, 4.654124748324996e+04, 3.173476385347822e+02, 0.000000000000000e+00, 5.525758428969847e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.926871482002008e-05, 2.769065973510343e-03, -8.116425944144438e-04, -2.426034257468750e+02, 2.626975658414273e+00, 0.000000000000000e+00
1741, 3.698146343231200e-02, -2.032874826836380e-02, 5.162493599540343e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.176107326667296e+05, 0.000000000000000e+00, 4.704429306669184e+04, 3.174517794824987e+02, 0.000000000000000e+00, 5.872086087448690e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.927350804745463e-05, 2.671104191283375e-03, -8.123689713406098e-04, -2.180525950699108e+02, 2.584797852966483e+00, 0.000000000000000e+00
1767, 3.265759348869320e-02, -1.898846258394884e-02, 5.213537474233704e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.188147294047288e+05, 0.000000000000000e+00, 4.752589176189152e+04, 3.175617015856481e+02, 0.000000000000000e+00, 6.203648383043805e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.927856651686617e-05, 2.580096429218651e-03, -8.187356921355246e-04, -2.001779856570615e+02, 2.543934763744453e+00, 0.000000000000000e+00
1793, 2.861636877059940e-02, -1.767427323011474e-02, 5.272164752548456e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.201942295401565e+05, 0.000000000000000e+00, 4.807769181606260e+04, 3.176764210196815e+02, 0.000000000000000e+00, 6.583541631289866e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.928384482966751e-05, 2.493441424860535e-03, -8.391008846412777e-04, -1.855747073707288e+02, 2.505473778900511e+00, 0.000000000000000e+00
1819, 2.490270137786870e-02, -1.637876148344897e-02, 5.337886835727833e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.217392274547674e+05, 0.000000000000000e+00, 4.869569098190693e+04, 3.177982604445787e+02, 0.000000000000000e+00, 7.009010437882572e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.928944970540059e-05, 2.401010306269613e-03, -8.570031225603713e-04, -1.687467073101782e+02, 2.462658558665250e+00, 0.000000000000000e+00
1845, 2.143678069114690e-02, -1.511163141774049e-02, 5.399410187027152e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.231922922787719e+05, 0.000000000000000e+00, 4.927691691150876e+04, 3.179271020477646e+02, 0.000000000000000e+00, 7.409162276745596e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.929537554015784e-05, 2.314256531671196e-03, -8.653941342687973e-04, -1.550329268686088e+02, 2.417339412361403e+00, 0.000000000000000e+00
1871, 1.820489764213560e-02, -1.387418172486818e-02, 5.463123931198534e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.246999734700630e+05, 0.000000000000000e+00, 4.987998938802518e+04, 3.180648266487570e+02, 0.000000000000000e+00, 7.824354628213883e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.930170861858526e-05, 2.236513056640262e-03, -8.862558512536356e-04, -1.495569552455324e+02, 2.374265913078094e+00, 0.000000000000000e+00
1897, 1.524919271469120e-02, -1.265969578830206e-02, 5.530478893341648e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.262956441508555e+05, 0.000000000000000e+00, 5.051825766034218e+04, 3.182115724973854e+02, 0.000000000000000e+00, 8.263777939955229e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.930845503392410e-05, 2.156333145932700e-03, -9.201118366694456e-04, -1.484744842941382e+02, 2.329282790669137e+00, 0.000000000000000e+00
1923, 1.256430149078370e-02, -1.146732761954573e-02, 5.602072835702526e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.279933818025823e+05, 0.000000000000000e+00, 5.119735272103292e+04, 3.183677730644620e+02, 0.000000000000000e+00, 8.731308935147329e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.931563442411870e-05, 2.055211648576030e-03, -9.583588433472172e-04, -1.465520327436337e+02, 2.271429978638007e+00, 0.000000000000000e+00
