"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         137,       -6.36309664,      -6.253997142,      -6.548218786,      -6.209011718
          0,           0,         138,      -6.411542678,      -6.347839509,      -6.612407178,      -6.295414437
          0,           0,         139,       -6.46417536,      -6.455708388,      -6.629174502,      -6.388329727
          0,           0,         140,      -6.512285086,      -6.518001716,       -6.64877507,      -6.460190315
          0,           0,         141,       -6.55263511,      -6.533706144,      -6.696222072,      -6.510765955
          0,           0,         142,      -6.579791916,      -6.548711532,      -6.780185397,      -6.545285828
          0,           0,         143,      -6.594658262,      -6.580870668,      -6.906241149,      -6.565719016
          0,           0,         144,      -6.615080265,      -6.625767246,      -7.060393898,      -6.589414609
          0,           0,         145,      -6.659484006,      -6.675503022,      -7.175286851,      -6.634028518
          0,           0,         146,      -6.730903675,      -6.725572834,       -7.18911253,      -6.701912908
          0,           0,         147,       -6.80468107,      -6.768477926,      -7.174613974,      -6.768371632
          0,           0,         148,      -6.842993353,      -6.798645867,      -7.190018763,      -6.800747162
          0,           0,         149,      -6.855874818,      -6.827028356,      -7.236920522,      -6.814773231
          0,           0,         150,      -6.887407337,      -6.874924443,       -7.29848425,      -6.852216134
          0,           0,         151,      -6.961397256,      -6.956596887,      -7.362241694,      -6.935334249
          0,           0,         152,      -7.074377037,      -7.068835954,      -7.432383547,      -7.060523423
          0,           0,         153,      -7.200858408,      -7.185786565,      -7.514614719,      -7.196562908
          0,           0,         154,      -7.291391274,      -7.264699432,      -7.599242131,       -7.27552676
          0,           0,         155,      -7.328967445,      -7.293749305,      -7.656927173,      -7.289491222
          0,           0,         156,      -7.343002033,      -7.304820468,      -7.683565487,      -7.291793577
          0,           0,         157,       -7.35922866,      -7.324517217,      -7.706269976,      -7.310325548
          0,           0,         158,      -7.390423294,      -7.363097272,      -7.747678779,      -7.350039909
          0,           0,         159,      -7.442724595,      -7.422415103,      -7.814615503,      -7.409131964
          0,           0,         160,      -7.516162724,      -7.499215407,      -7.901661892,       -7.48350595
          0,           0,         161,      -7.604484475,      -7.586987607,      -7.998124246,      -7.568367873
          0,           0,         162,      -7.698879746,      -7.680195113,      -8.099978671,      -7.660350439
          0,           0,         163,      -7.795125318,      -7.777929635,      -8.212920122,      -7.758287263
          0,           0,         164,      -7.895084077,      -7.881480115,      -8.338507126,      -7.861178996
          0,           0,         165,      -7.999112732,      -7.988511598,      -8.465746658,      -7.965547617
          0,           0,         166,      -8.093696712,      -8.086133448,      -8.590041473,      -8.057649924
          0,           0,         167,      -8.168259924,      -8.161307961,      -8.706220422,      -8.128595732
          0,           0,         168,      -8.224686415,      -8.214161134,      -8.828041761,      -8.181829714
          0,           0,         169,      -8.272938726,      -8.254841641,      -8.950963881,      -8.227761381
          0,           0,         170,      -8.320741068,      -8.292720474,      -9.056108692,      -8.274048768
          0,           0,         171,      -8.371946766,      -8.333015624,      -9.127805526,      -8.324216457
          0,           0,         172,      -8.426274895,      -8.377028667,      -9.169698035,      -8.377602918
          0,           0,         173,      -8.480025871,       -8.42333565,      -9.195207314,      -8.430392639
          0,           0,         174,      -8.528301366,      -8.468999693,      -9.215069404,      -8.477877535
          0,           0,         175,      -8.567857933,      -8.510733461,       -9.23555821,      -8.517070746
          0,           0,         176,      -8.598791142,      -8.546236451,      -9.260035433,      -8.548100492
          0,           0,         177,      -8.624147278,       -8.57542229,      -9.290607578,      -8.573819611
          0,           0,         178,      -8.647939559,      -8.600395059,      -9.327814612,      -8.598004651
          0,           0,         179,      -8.673501531,      -8.624233017,      -9.370699451,      -8.623848278
          0,           0,         180,      -8.702879961,      -8.649734143,      -9.416882186,      -8.653349325
          0,           0,         181,      -8.736977346,      -8.678811178,      -9.463416952,      -8.687429043
          0,           0,         182,      -8.775879665,      -8.712496466,      -9.507666539,      -8.726219468
          0,           0,         183,      -8.819153461,      -8.751109254,      -9.548289814,      -8.769347967
          0,           0,         184,      -8.866051527,      -8.794496348,      -9.585418702,      -8.816128987
          0,           0,         185,       -8.91569364,      -8.842152718,      -9.620416988,      -8.865732099
          0,           0,         186,       -8.96712608,      -8.893360431,       -9.65436813,      -8.917241542
          0,           0,         187,      -9.019495906,      -8.947227508,      -9.687837988,      -8.969800761
