"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,          45,      -4.367158313,      -2.051496261,      -2.128195923,        1.06295837,      -6.149622769,       14525.13454,     0.01265549483,      0.8234305026,                 0,                 0,                 0,     0.09268103369,     -0.0271274788,      0.8230808308,                 0,       65.06505779,    0.006851544281
          0,           0,          46,      -4.366482611,      -2.049752281,      -2.130536013,       1.063603678,      -6.136543291,       14525.13454,      0.0126571435,      0.8234257857,                 0,                 0,                 0,     0.09268197154,    -0.02712560426,      0.8230761991,                 0,       65.05621003,    0.006851544281
          0,           0,          47,      -4.366320268,      -2.049828498,      -2.134431874,       1.063311649,      -6.122140437,       14525.13454,     0.01265921171,      0.8234221769,                 0,                 0,                 0,     0.09268434921,    -0.02712336417,      0.8230726943,                 0,       65.04529633,    0.006851544281
          0,           0,          48,      -4.366634314,      -2.051943889,      -2.140377469,       1.062173046,      -6.107287242,       14525.13454,     0.01266149137,      0.8234189492,                 0,                 0,                 0,     0.09268767422,    -0.02712093127,      0.8230695805,                 0,       65.03333018,    0.006851544281
          0,           0,          49,      -4.367384568,       -2.05599781,      -2.148534246,       1.060341439,       -6.09256733,       14525.13454,     0.01266377822,      0.8234154374,                 0,                 0,                 0,     0.09269145808,     -0.0271184775,      0.8230661833,                 0,       65.02130905,    0.006851544281
          0,           0,          50,      -4.368510724,      -2.061619186,      -2.158685339,        1.05803532,      -6.078321593,       14525.13454,     0.01266588378,      0.8234110679,                 0,                 0,                 0,     0.09269524411,    -0.02711616336,      0.8230619205,                 0,       65.01015499,    0.006851544281
          0,           0,          51,      -4.369966224,      -2.068248956,      -2.170284395,       1.055456154,      -6.064713505,       14525.13454,      0.0126676451,      0.8234053795,                 0,                 0,                 0,     0.09269863039,    -0.02711412937,      0.8230563239,                 0,       65.00066689,    0.006851544281
          0,           0,          52,      -4.371713603,      -2.075246803,       -2.18254741,       1.052771449,      -6.051819201,       14525.13454,     0.01266893173,       0.823398037,                 0,                 0,                 0,     0.09270128689,    -0.02711248964,      0.8230490521,                 0,       64.99348602,    0.006851544281
          0,           0,          53,      -4.373719235,      -2.082008395,      -2.194586287,       1.050099388,      -6.039692806,       14525.13454,     0.01266964995,      0.8233888356,                 0,                 0,                 0,     0.09270296633,    -0.02711132786,       0.823039896,                 0,       64.98907539,    0.006851544281
          0,           0,          54,       -4.37596057,      -2.088072157,      -2.205606357,       1.047492041,      -6.028406154,       14525.13454,     0.01266974425,       0.823377698,                 0,                 0,                 0,     0.09270350894,    -0.02711069577,       0.823028776,                 0,       64.98771259,    0.006851544281
          0,           0,          55,      -4.378437426,      -2.093187846,      -2.215064728,       1.044919478,      -6.018061007,       14525.13454,     0.01266919633,      0.8233646652,                 0,                 0,                 0,     0.09270284153,    -0.02711061362,      0.8230157319,                 0,       64.98949449,    0.006851544281
          0,           0,          56,      -4.381152866,      -2.097329894,      -2.222776407,         1.0423093,      -6.008782755,       14525.13454,     0.01266802224,      0.8233498813,                 0,                 0,                 0,     0.09270097164,    -0.02711107235,      0.8230009086,                 0,       64.99435081,    0.006851544281
          0,           0,          57,      -4.384113764,      -2.100656872,      -2.228936842,       1.039565313,      -6.000644936,       14525.13454,     0.01266626747,      0.8233335751,                 0,                 0,                 0,     0.09269797743,    -0.02711203755,      0.8229845367,                 0,       65.00206765,    0.006851544281
          0,           0,          58,      -4.387328642,      -2.103441315,      -2.234029957,       1.036587569,       -5.99378831,       14525.13454,     0.01266400108,      0.8233160382,                 0,                 0,                 0,     0.09269399471,    -0.02711345434,      0.8229669108,                 0,       65.01231588,    0.006851544281
          0,           0,          59,      -4.390807016,      -2.105988555,      -2.238676088,       1.033287314,       -5.98830716,       14525.13454,     0.01266130902,      0.8232976026,                 0,                 0,                 0,     0.09268920194,    -0.02711525289,      0.8229483667,                 0,       65.02468277,    0.006851544281
          0,           0,          60,       -4.39454704,      -2.108569362,      -2.243492574,       1.029612256,      -5.984211221,       14525.13454,     0.01265828757,      0.8232786184,                 0,                 0,                 0,     0.09268380453,    -0.02711735397,      0.8229292588,                 0,       65.03870402,    0.006851544281
          0,           0,          61,      -4.398534083,      -2.111378368,      -2.248966939,       1.025550435,      -5.981442613,       14525.13454,     0.01265503658,      0.8232594333,                 0,                 0,                 0,     0.09267801964,     -0.0271196746,      0.8229099391,                 0,         65.053896,    0.006851544281
          0,           0,          62,      -4.402755129,      -2.114516403,      -2.255407013,       1.021117404,      -5.979880397,       14525.13454,     0.01265165363,      0.8232403742,                 0,                 0,                 0,     0.09267206172,    -0.02712213312,      0.8228907388,                 0,       65.06978441,    0.006851544281
          0,           0,          63,      -4.407181976,       -2.11799334,      -2.262913696,       1.016363398,      -5.979356587,       14525.13454,     0.01264822904,       0.823221731,                 0,                 0,                 0,     0.09266612998,    -0.02712465333,      0.8228719519,                 0,        65.0859285,    0.006851544281
          0,           0,          64,      -4.411781571,      -2.121746076,      -2.271394131,       1.011362948,      -5.979649945,       14525.13454,      0.0126448419,      0.8232037451,                 0,                 0,                 0,     0.09266039827,    -0.02712716788,      0.8228538234,                 0,       65.10194051,    0.006851544281
          0,           0,          65,      -4.416523242,      -2.125664305,      -2.280589086,       1.006198921,      -5.980524617,       14525.13454,     0.01264155672,      0.8231866009,                 0,                 0,                 0,     0.09265500758,    -0.02712962123,      0.8228365406,                 0,       65.11750246,    0.006851544281
          0,           0,          66,      -4.421383718,      -2.129611665,      -2.290115134,       1.000947695,      -5.981742358,       14525.13454,     0.01263842293,      0.8231704227,                 0,                 0,                 0,     0.09265006186,    -0.02713197003,      0.8228202299,                 0,       65.13236876,    0.006851544281
          0,           0,          67,      -4.426353068,      -2.133457779,      -2.299521596,      0.9956626724,      -5.983075186,       14525.13454,     0.01263547398,      0.8231552735,                 0,                 0,                 0,     0.09264562602,    -0.02713418389,      0.8228049559,                 0,        65.1463708,    0.006851544281
