"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y"
17, 9.214000105860000e-01, -1.087086069705918e-02, 1.347806914954608e+00, 3.284716152292395e+02, 4.322184543538039e+01, 3.096598263064406e+05, 1.075764744016315e+05, 2.780481258882604e+02, 7.353413027238433e-01, 1.377170879073584e-01, 2.437082133832960e+02, 3.206827695852564e+01
18, 9.126999974250000e-01, -1.200973104171110e-02, 1.341622282378616e+00, 3.297905802166903e+02, 4.293276749452590e+01, 3.084357130936120e+05, 1.068860305658983e+05, 2.775370907885256e+02, 7.422459784730714e-01, 1.225069297411595e-01, 2.458147755506798e+02, 3.200063688448039e+01
19, 9.035800099370001e-01, -1.319055953446835e-02, 1.335567274187578e+00, 3.310410281144228e+02, 4.261637580165289e+01, 3.072357218391655e+05, 1.062115921864731e+05, 2.770361835288721e+02, 7.489764282468854e-01, 1.076493643701548e-01, 2.478654834634176e+02, 3.190882003871824e+01
20, 8.940600156780000e-01, -1.440916392228702e-02, 1.329640668267337e+00, 3.322353707262441e+02, 4.227445820846376e+01, 3.060603433847896e+05, 1.055522900863995e+05, 2.765436659349330e+02, 7.555591543044317e-01, 9.312524422825057e-02, 2.498685386625410e+02, 3.179389681540942e+01
21, 8.841500282290000e-01, -1.566269158090452e-02, 1.323830076762565e+00, 3.333743095369176e+02, 4.190865264796128e+01, 3.049068900192262e+05, 1.049069771116453e+05, 2.760593585491632e+02, 7.619993072180109e-01, 7.890929804301308e-02, 2.518256046517592e+02, 3.165712381338938e+01
22, 8.738499879840000e-01, -1.694956337677533e-02, 1.318108932205284e+00, 3.344579856580851e+02, 4.151986608503577e+01, 3.037696343402182e+05, 1.042731562577618e+05, 2.755824531089708e+02, 7.683101257625276e-01, 6.494651796204379e-02, 2.537407777811767e+02, 3.149957114361578e+01
23, 8.631799817090000e-01, -1.826569132102762e-02, 1.312486610343195e+00, 3.355011132850229e+02, 4.111040776040912e+01, 3.026515497402415e+05, 1.036507565510005e+05, 2.751109902656658e+02, 7.745196263285541e-01, 5.123534046650897e-02, 2.556225036058040e+02, 3.132253497783066e+01
24, 8.521599769590000e-01, -1.960709133914372e-02, 1.306930822353469e+00, 3.364979158992037e+02, 4.068032945417318e+01, 3.015452971534254e+05, 1.030371215133811e+05, 2.746448517160460e+02, 7.806311545850469e-01, 3.771724457591073e-02, 2.574718647259782e+02, 3.112661263961751e+01
25, 8.407700061800000e-01, -2.097463226217677e-02, 1.301438674565425e+00, 3.374572499936161e+02, 4.023210203486455e+01, 3.004508626580925e+05, 1.024313692775029e+05, 2.741824262388881e+02, 7.866673828582262e-01, 2.437280315954085e-02, 2.592955446835015e+02, 3.091355960226003e+01
26, 8.290500044819999e-01, -2.236196298315981e-02, 1.295995976203371e+00, 3.383780061103550e+02, 3.976435880839508e+01, 2.993650890435154e+05, 1.018322640653182e+05, 2.737235046049488e+02, 7.926323625367081e-01, 1.117479259891644e-02, 2.610949511599840e+02, 3.068247088612500e+01
27, 8.170099854470000e-01, -2.376642068849115e-02, 1.290599625123182e+00, 3.392664259094983e+02, 3.927866485207652e+01, 2.982877439743593e+05, 1.012390778867574e+05, 2.732668757260528e+02, 7.985429814489116e-01, -1.892824390279748e-03, 2.628750383195848e+02, 3.043443069985981e+01
28, 8.046399950980000e-01, -2.518763605296113e-02, 1.285240205936991e+00, 3.401208650136933e+02, 3.877509462759005e+01, 2.972166684598181e+05, 1.006510550462929e+05, 2.728125681497683e+02, 8.043998743791618e-01, -1.484669543079055e-02, 2.646360294694733e+02, 3.016953130510066e+01
29, 7.919700145720000e-01, -2.662062628442961e-02, 1.279917791995751e+00, 3.409428444548585e+02, 3.825276096580954e+01, 2.961519390459336e+05, 1.000681417097625e+05, 2.723604882312783e+02, 8.102052074236196e-01, -2.768800646429180e-02, 2.663787054035969e+02, 2.988688899008330e+01
30, 7.790099978450000e-01, -2.806276676215449e-02, 1.274629734696170e+00, 3.417395287762151e+02, 3.771236480232594e+01, 2.950935082122452e+05, 9.948956546667079e+04, 2.719091572344491e+02, 8.159787750800727e-01, -4.043377333653234e-02, 2.681088628908179e+02, 2.958691749907696e+01
31, 7.657799720760000e-01, -2.951033727360171e-02, 1.269354990410310e+00, 3.425100636152483e+02, 3.715372541626691e+01, 2.940368446347448e+05, 9.891334322643251e+04, 2.714576790709021e+02, 8.217326460166853e-01, -5.312768261533542e-02, 2.698300051623340e+02, 2.926976747793557e+01
32, 7.522799968720000e-01, -3.096181144522562e-02, 1.264053909890396e+00, 3.432532493290814e+02, 3.657545328820650e+01, 2.929734740210869e+05, 9.833567521763910e+04, 2.710040949178580e+02, 8.274921720963103e-01, -6.585344150631141e-02, 2.715495333255560e+02, 2.893504224940682e+01
33, 7.385200262070000e-01, -3.241453277608040e-02, 1.258725367121499e+00, 3.439773211247676e+02, 3.597792938538684e+01, 2.919037951558734e+05, 9.775581404216723e+04, 2.705465232401177e+02, 8.332813596676381e-01, -7.862751484422408e-02, 2.732743218732360e+02, 2.858282698128388e+01
34, 7.245299816130000e-01, -3.386376679305321e-02, 1.253374858191462e+00, 3.446826535083525e+02, 3.535872838083679e+01, 2.908289757569138e+05, 9.717429342264424e+04, 2.700851821953688e+02, 8.390974540378083e-01, -9.143814496659780e-02, 2.750036441657263e+02, 2.821081670000715e+01
35, 7.103199958800001e-01, -3.530689307158652e-02, 1.247986699366299e+00, 3.453622350438506e+02, 3.471766976502386e+01, 2.897451675588739e+05, 9.659010644198653e+04, 2.696205766212787e+02, 8.449341504951198e-01, -1.043075137907870e-01, 2.767355094563254e+02, 2.781894212706975e+01
36, 6.958900094030001e-01, -3.674225211597043e-02, 1.242580777382301e+00, 3.460306813393557e+02, 3.405269771858317e+01, 2.886576909753130e+05, 9.600408895837354e+04, 2.691506575516831e+02, 8.508171545726111e-01, -1.172172077479305e-01, 2.784774138131492e+02, 2.740481612014048e+01
37, 6.812700033190000e-01, -3.816515293304169e-02, 1.237108947596303e+00, 3.466706588351032e+02, 3.336140264558737e+01, 2.875550529395520e+05, 9.541283006628782e+04, 2.686761862621203e+02, 8.567368259718166e-01, -1.302423675080227e-01, 2.802264582344851e+02, 2.696723090590236e+01
38, 6.664699912070000e-01, -3.957289370556494e-02, 1.231583573497548e+00, 3.472960179803299e+02, 3.264295760572237e+01, 2.864409645629219e+05, 9.481644595512225e+04, 2.681946622041023e+02, 8.627241542813687e-01, -1.433804334725103e-01, 2.819914339991165e+02, 2.650486601816256e+01
39, 6.514999866490000e-01, -4.096270419333766e-02, 1.225980944940900e+00, 3.479041381819895e+02, 3.189406676910900e+01, 2.853102478031015e+05, 9.421277482816865e+04, 2.677049615617674e+02, 8.687926929768984e-01, -1.566790290224029e-01, 2.837761382977780e+02, 2.601514069262021e+01
40, 6.363800168040000e-01, -4.233084266562091e-02, 1.220291215488635e+00, 3.484923769552146e+02, 3.111416874261815e+01, 2.841606567817063e+05, 9.360101440954339e+04, 2.672067444905003e+02, 8.749461623471414e-01, -1.701558279241260e-01, 2.855813206978382e+02, 2.549733075818239e+01
41, 6.211299896240000e-01, -4.367359094194759e-02, 1.214507688342847e+00, 3.490662613808289e+02, 3.029858219116684e+01, 2.829912484192878e+05, 9.298003468897883e+04, 2.666980134398460e+02, 8.812086226244947e-01, -1.838357237809110e-01, 2.874137930383279e+02, 2.494721316462657e+01
42, 6.057599782940000e-01, -4.498807223669178e-02, 1.208610579318197e+00, 3.496187696320806e+02, 2.944706079814500e+01, 2.817973576791211e+05, 9.234837614542757e+04, 2.661786493816856e+02, 8.875808236754230e-01, -1.977508691659712e-01, 2.892732991211346e+02, 2.436439106362673e+01
43, 5.902799963950000e-01, -4.627132533375768e-02, 1.202600981702491e+00, 3.501567462481061e+02, 2.855428513050868e+01, 2.805798001922197e+05, 9.170556162212507e+04, 2.656467250394579e+02, 8.940856020682474e-01, -2.119117756220024e-01, 2.911661902623746e+02, 2.374377334208152e+01
44, 5.747100114820000e-01, -4.751950934859488e-02, 1.196469703658770e+00, 3.506718587813293e+02, 2.761905404890043e+01, 2.793360216206494e+05, 9.105129994783302e+04, 2.651030899913879e+02, 9.007117250185411e-01, -2.263248575166319e-01, 2.930887908895517e+02, 2.308378888695814e+01
45, 5.590599775310000e-01, -4.872955796694115e-02, 1.190224127738385e+00, 3.511697348438005e+02, 2.663650535875622e+01, 2.780680704292669e+05, 9.038582810302079e+04, 2.645464492358017e+02, 9.074741418772502e-01, -2.409848942797929e-01, 2.950450479533454e+02, 2.237940295276136e+01
